pair,ic,sample,fee_bps,window_days,sample_days,sharpe,return_pct,max_dd_pct,trades,final
ANKR-STORJ,-0.3211995044052625,in_sample,4.5,90,280.0,1.6594659834627585,61.393640890567,-28.456515346228255,16,16139.3640890567
STORJ-ENJ,-0.30762721772516866,in_sample,4.5,90,280.0,1.624225521901231,55.743396652054436,-29.187642302157528,13,15574.339665205443
DOT-ZRX,-0.27099947399538615,in_sample,4.5,90,280.0,1.520680759824521,47.69182317087284,-31.0394846373741,10,14769.182317087283
ONT-ATA,-0.3019864208221949,in_sample,4.5,90,280.0,1.2568559879463297,43.23137796131768,-53.01055185894662,9,14323.137796131768
ATA-STORJ,-0.32503651886816287,in_sample,4.5,90,280.0,1.1068297687920006,34.18071239748342,-33.77789036559064,14,13418.071239748342
ANKR-STORJ,-0.3211995044052625,in_sample,5.0,90,280.0,1.6319396185254469,59.8834464456222,-28.55753575281218,16,15988.344644562221
STORJ-ENJ,-0.30762721772516866,in_sample,5.0,90,280.0,1.6004163014058064,54.56226349155398,-29.290000394474752,13,15456.226349155399
DOT-ZRX,-0.27099947399538615,in_sample,5.0,90,280.0,1.5028459652858293,46.829910385278865,-31.128823476862944,10,14682.991038527887
ONT-ATA,-0.3019864208221949,in_sample,5.0,90,280.0,1.2442922107454453,42.4693849657729,-53.117771356323296,9,14246.93849657729
ATA-STORJ,-0.32503651886816287,in_sample,5.0,90,280.0,1.0892547254130007,33.04487394292042,-33.915180456713465,14,13304.487394292042
STORJ-ENJ,-0.30762721772516866,in_sample,10.0,90,280.0,1.3660568969998979,43.19598535164304,-30.309621317646933,13,14319.598535164305
ANKR-STORJ,-0.3211995044052625,in_sample,10.0,90,280.0,1.3610137271390108,45.491619175606225,-30.507043484220908,16,14549.161917560623
DOT-ZRX,-0.27099947399538615,in_sample,10.0,90,280.0,1.3269476165388399,38.455673582380086,-32.01906312961293,10,13845.56735823801
ONT-ATA,-0.3019864208221949,in_sample,10.0,90,280.0,1.1202928462855242,35.04407745056033,-54.18101270433537,9,13504.407745056033
ATA-STORJ,-0.32503651886816287,in_sample,10.0,90,280.0,0.9161444126156613,22.166322782864746,-35.277705595534755,14,12216.632278286475
STORJ-ENJ,-0.30762721772516866,out_sample,4.5,90,120.0,5.05485855394923,58.8841390725946,-16.424824221213726,3,15888.413907259459
ANKR-STORJ,-0.3211995044052625,out_sample,4.5,90,120.0,4.2274939556475495,39.432852589982744,-22.194664532112142,3,13943.285258998274
ONT-ATA,-0.3019864208221949,out_sample,4.5,90,120.0,3.807811284776302,35.1225113903902,-18.623931965589044,3,13512.25113903902
DOT-ZRX,-0.27099947399538615,out_sample,4.5,90,120.0,2.0042254834900657,10.629993480893575,-16.661973554552866,1,11062.999348089357
ATA-STORJ,-0.32503651886816287,out_sample,4.5,90,120.0,-0.6803990671001191,-11.920549682479376,-29.91416242010568,2,8807.945031752062
STORJ-ENJ,-0.30762721772516866,out_sample,5.0,90,120.0,5.041986477491771,58.63899838809736,-16.424824221213733,3,15863.899838809735
ANKR-STORJ,-0.3211995044052625,out_sample,5.0,90,120.0,4.203215331468148,39.18899297116456,-22.2521488284017,3,13918.899297116455
ONT-ATA,-0.3019864208221949,out_sample,5.0,90,120.0,3.7910636413172902,34.911768459136596,-18.623931965589037,3,13491.17684591366
DOT-ZRX,-0.27099947399538615,out_sample,5.0,90,120.0,1.9954789455332147,10.56999348089358,-16.661973554552866,1,11056.999348089357
ATA-STORJ,-0.32503651886816287,out_sample,5.0,90,120.0,-0.6916368828513194,-12.031264744524083,-29.964443969050397,2,8796.873525547591
STORJ-ENJ,-0.30762721772516866,out_sample,10.0,90,120.0,4.907792207003467,56.20143567758629,-16.424824221213736,3,15620.143567758629
ANKR-STORJ,-0.3211995044052625,out_sample,10.0,90,120.0,3.9596795062604793,36.765734624314675,-22.826991791297367,3,13676.573462431466
ONT-ATA,-0.3019864208221949,out_sample,10.0,90,120.0,3.6175283344936147,32.8163731859443,-18.623931965589037,3,13281.63731859443
DOT-ZRX,-0.27099947399538615,out_sample,10.0,90,120.0,1.9063453728777813,9.96999348089358,-16.661973554552866,1,10996.999348089357
ATA-STORJ,-0.32503651886816287,out_sample,10.0,90,120.0,-0.8000018773042987,-13.134662185766866,-30.467259458497303,2,8686.533781423313
